Company Name,Industry,Symbol,Series,ISIN Code,Date
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,06-02-2025
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010,06-02-2025
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,06-02-2025
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,06-02-2025
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,06-02-2025
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01011,06-02-2025
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023,06-02-2025
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024,06-02-2025
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,06-02-2025
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,06-02-2025
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011,06-02-2025
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,06-02-2025
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,06-02-2025
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01024,06-02-2025
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026,06-02-2025
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012,06-02-2025
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039,06-02-2025
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,06-02-2025
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026,06-02-2025
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011,06-02-2025
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,06-02-2025
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026,06-02-2025
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,06-02-2025
Canara Bank,Financial Services,CANBK,EQ,INE476A01022,06-02-2025
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024,06-02-2025
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,06-02-2025
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014,06-02-2025
DLF Ltd.,Realty,DLF,EQ,INE271C01023,06-02-2025
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026,06-02-2025
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024,06-02-2025
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031,06-02-2025
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021,06-02-2025
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019,06-02-2025
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028,06-02-2025
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021,06-02-2025
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027,06-02-2025
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034,06-02-2025
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014,06-02-2025
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034,06-02-2025
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026,06-02-2025
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020,06-02-2025
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020,06-02-2025
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027,06-02-2025
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021,06-02-2025
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017,06-02-2025
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,INE726G01019,06-02-2025
ITC Hotels Ltd.,Consumer Services,ITCHOTELS,BE,INE379A01028,06-02-2025
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025,06-02-2025
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010,06-02-2025
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020,06-02-2025
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010,06-02-2025
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012,06-02-2025
